Field Output reported for whole element for region: COMPOSITE-1.Region_2

   Element Label            EVOL
                          @Loc 1
---------------------------------
           46620     23.7198E-03
           46621     15.7720E-03
           46622     3.68606E-03
           46623     13.8260E-03
           46624     19.6510E-03
           46625     17.6432E-03
           46626     13.9600E-03
           46627     16.7832E-03
           46628     4.68654E-03
           46629     14.3054E-03
           46630     13.5607E-03
           46631     15.7754E-03
           46632     17.5137E-03
           46633     5.78865E-03
           46634     24.1317E-03
           46635     10.6843E-03
           46636     7.90735E-03
           46637     13.5701E-03
           46638     10.0426E-03
           46639     16.8589E-03
           46640     14.8347E-03
           46641     12.7272E-03
           46642     400.478E-06
           46643     11.1558E-03
           46644     16.6269E-03
           46645     12.9646E-03
           46646     14.0067E-03
           46647     16.0076E-03
           46648     10.4207E-03
           46649     11.3163E-03
           46650     23.7272E-03
           46651     12.3003E-03
           46652     15.4094E-03
           46653     17.4570E-03
           46654     12.9646E-03
           46655     15.2982E-03
           46656     11.5858E-03
           46657     11.0625E-03
           46658     20.4968E-03
           46659     22.3965E-03
           46660     13.8723E-03
           46661     23.0944E-03
           46662     20.7190E-03
           46663     22.3807E-03
           46664     16.4816E-03
           46665     27.9696E-03
           46666     10.9841E-03
           46667     12.7829E-03
           46668     15.6335E-03
           46669     11.3716E-03
           46670     11.5857E-03
           46671     11.5858E-03
           46672     5.48218E-03
           46673     12.1131E-03
           46674     10.8236E-03
           46675     11.2389E-03
           46676     10.6183E-03
           46677     11.7614E-03
           46678     9.01390E-03
           46679     16.3614E-03
           46680     11.5050E-03
           46681     13.4808E-03
           46682     13.8605E-03
           46683     14.4737E-03
           46684     22.0595E-03
           46685     26.0477E-03
           46686     24.8918E-03
           46687     15.3011E-03
           46688     14.9948E-03
           46689     29.1014E-03
           46690     21.0449E-03
           46691     19.3364E-03
           46692     14.8898E-03
           46693     23.2501E-03
           46694     15.2373E-03
           46695     11.5857E-03
           46696     12.1894E-03
           46697     23.1626E-03
           46698     22.6955E-03
           46699     14.9186E-03
           46700     20.3118E-03
           46701     871.281E-06
           46702     19.4060E-03
           46703     16.2079E-03
           46704     19.6766E-03
           46705     16.6952E-03
           46706     15.9059E-03
           46707     15.5717E-03
           46708     2.43870E-03
           46709     4.79125E-03
           46710     15.0654E-03
           46711     17.4965E-03
           46712     13.2750E-03
           46713     12.2235E-03
           46714     13.5802E-03
           46715     14.6486E-03
           46716     12.6670E-03
           46717     8.54595E-03
           46718     16.6617E-03
           46719     26.4052E-03
           46720     13.2112E-03
           46721     22.0265E-03
           46722     23.8135E-03
           46723     22.1835E-03
           46724     4.50560E-03
           46725     15.1607E-03
           46726     18.6499E-03
           46727     9.64389E-03
           46728     15.3597E-03
           46729     14.6773E-03
           46730     14.1564E-03
           46731     17.3847E-03
           46732     14.4269E-03
           46733     10.0519E-03
           46734     8.20858E-03
           46735     10.5708E-03
           46736     8.95269E-03
           46737     9.77971E-03
           46738     15.2506E-03
           46739     14.5863E-03
           46740     9.38218E-03
           46741     17.8925E-03
           46742     11.1186E-03
           46743     13.7785E-03
           46744     15.9467E-03
           46745     4.29682E-03
           46746     12.7120E-03
           46747     11.6828E-03
           46748     13.7963E-03
           46749     15.2674E-03
           46750     10.3719E-03
           46751     20.3988E-03
           46752     18.9440E-03
           46753     17.5019E-03
           46754     13.7786E-03
           46755     23.6410E-03
           46756     10.5567E-03
           46757     14.2444E-03
           46758     9.58973E-03
           46759     11.8660E-03
           46760     27.9832E-03
           46761     19.9574E-03
           46762     12.3224E-03
           46763     11.8511E-03
           46764     30.8008E-03
           46765     18.0826E-03
           46766     39.3317E-03
           46767     29.7248E-03
           46768     14.6747E-03
           46769     10.9164E-03
           46770     15.1601E-03
           46771     10.8045E-03
           46772     23.5115E-03
           46773     23.4798E-03
           46774     6.43480E-03
           46775     14.4166E-03
           46776     12.6854E-03
           46777     21.3788E-03
           46778     14.8508E-03
           46779     12.8649E-03
           46780     17.8564E-03
           46781     15.4925E-03
           46782     15.7289E-03
           46783     11.5831E-03
           46784     11.7666E-03
           46785     23.9924E-03
           46786     16.9881E-03
           46787     12.0056E-03
           46788     15.9285E-03
           46789     13.5156E-03
           46790     7.74751E-03
           46791     9.95209E-03
           46792     15.8795E-03
           46793     8.55257E-03
           46794     12.9361E-03
           46795     11.7449E-03
           46796     11.4831E-03
           46797     11.7520E-03
           46798     9.77000E-03
           46799     20.6043E-03
           46800     20.8177E-03
           46801     24.4232E-03
           46802     14.4202E-03
           46803     11.5858E-03
           46804     15.2371E-03
           46805     11.1481E-03
           46806     30.0881E-03
           46807     11.8767E-03
           46808     14.6599E-03
           46809     13.5703E-03
           46810     16.2358E-03
           46811     6.70529E-03
           46812     13.0164E-03
           46813     3.68943E-03
           46814     11.0161E-03
